date,case_by_day,case_by_time,death_by_day,once_injected_by_time,twice_injected_by_time
0,5,5,0,0,0
1,8,13,0,0,0
2,45,58,0,0,0
3,16,74,0,0,0
4,14,88,0,0,0
5,20,108,0,0,0
6,19,127,0,0,0
7,15,142,0,0,0
8,26,168,0,0,0
9,68,236,0,0,0
10,47,283,0,0,0
11,93,376,0,0,0
12,104,480,0,0,0
13,127,607,0,0,0
14,76,683,0,0,0
15,86,769,0,0,0
16,87,856,0,0,0
17,106,962,0,0,0
18,53,1015,1,0,0
19,307,1322,0,0,0
20,184,1506,1,0,0
21,152,1658,0,0,0
22,67,1725,0,0,0
23,230,1955,2,0,0
24,132,2087,2,0,0
25,146,2233,0,0,0
26,131,2364,1,0,0
27,187,2551,2,0,0
28,370,2921,0,0,0
29,312,3233,1,0,0
30,230,3463,1,0,0
31,80,3543,1,0,0
32,460,4003,0,0,0
33,251,4254,0,0,0
34,214,4468,0,0,0
35,251,4719,1,0,0
36,241,4960,1,0,0
37,250,5210,0,0,0
38,224,5434,2,0,0
39,254,5688,2,0,0
40,206,5894,0,0,0
41,238,6132,0,0,0
42,0,6132,0,0,0
43,407,6539,0,0,0
44,219,6758,0,0,0
45,196,6954,2,0,0
46,146,7100,0,0,0
47,297,7397,1,0,0
48,272,7669,0,0,0
49,192,7861,0,0,0
50,633,8494,2,0,0
51,379,8873,0,0,0
52,400,9273,1,0,0
53,208,9481,2,0,0
54,495,9976,0,0,0
55,366,10342,5,0,0
56,146,10488,0,0,0
57,233,10721,1,0,0
58,254,10975,2,0,0
59,421,11396,2,0,0
60,738,12134,0,0,0
61,126,12260,2,0,0
62,643,12903,0,0,0
63,201,13104,4,0,0
64,621,13725,1,0,0
65,448,14173,0,0,0
66,591,14764,3,0,0
67,489,15253,0,0,0
68,1,15254,2,0,0
69,1549,16803,4,0,0
70,15,16818,7,0,0
71,1606,18424,1,0,0
72,0,18424,7,0,0
73,1,18425,0,0,0
74,1620,20045,1,0,0
75,0,20045,0,0,0
76,4063,24108,0,0,0
77,2147,26255,0,0,0
78,1071,27326,27,0,0
79,854,28180,75,0,0
80,7313,35493,18,0,0
81,2106,37599,0,0,0
82,2701,40300,29,0,0
83,0,40300,0,0,0
84,14084,54384,0,0,0
85,246,54630,0,0,0
86,1,54631,0,0,0
87,23421,78052,125,0,0
88,9216,87268,0,0,0
89,7515,94783,0,0,0
90,7816,102599,152,0,0
91,7901,110500,0,0,0
92,6549,117049,106,0,0
93,7543,124592,233,0,0
94,8594,133186,301,0,0
95,8605,141791,145,0,0
96,8577,150368,0,0,0
97,7420,157788,387,0,0
98,8361,166149,377,0,0
99,7608,173757,256,0,0
100,7239,180996,393,0,0
101,8307,189303,296,0,0
102,7324,196627,0,0,0
103,9670,206297,463,0,0
104,9322,215619,360,0,0
105,8371,223990,388,0,0
106,8756,232746,342,0,0
107,9653,242399,327,0,0
108,9170,251569,275,0,0
109,9716,261285,348,0,0
110,9564,270849,336,0,0
111,8638,279487,368,0,0
112,9605,289092,331,0,0
113,8784,297876,298,0,0
114,10504,308380,380,0,0
115,10657,319037,390,0,0
116,13427,332464,0,0,0
117,11408,343872,737,0,0
118,10397,354269,389,0,0
119,10802,365071,348,0,0
120,12092,377163,335,0,0
121,11575,388738,318,0,0
122,17413,406151,386,0,0
123,12047,418198,352,0,0
124,12785,430983,344,0,0
125,14220,445203,315,0,0
126,12530,457733,0,0,0
127,11438,469171,804,0,0
128,13195,482366,271,0,0
129,14921,497287,308,0,0
130,10118,507405,347,0,0
131,13137,520542,281,0,0
132,13410,533952,311,0,0
133,14191,548143,316,0,0
134,12622,560765,492,0,0
135,12389,573154,275,0,0
136,13260,586414,270,0,0
137,11937,598351,264,0,0
138,11467,609818,260,0,0
139,10971,620789,298,18929108,5447920
140,10497,631286,276,19405504,5654357
141,10523,641809,215,20132927,5787088
142,10473,652282,234,20450003,5976485
143,11495,663777,212,20447246,5976485
144,9350,673127,219,20668716,6127375
145,10013,683140,233,20868410,6296641
146,8869,692009,215,21077295,6415337
147,11687,703696,240,21301534,6560965
148,11523,715219,236,21817480,6838207
149,9464,724683,236,21817480,6838207
150,8388,733071,203,22058114,7026289
151,9687,742758,179,22262474,7310072
152,10000,752758,184,22273818,7694756
153,9338,762096,177,22691448,8341004
154,8000,815768,178,22691448,8341004
155,8662,824430,161,22964761,9238157
156,7921,832351,219,23054280,9552095
157,6941,839292,377,23054155,9550259
158,5471,844763,164,23213810,9853807
159,5347,850110,114,23541880,10380704
160,5382,855492,130,23834732,10831311
161,4312,859804,133,23687258,11448230
162,4356,864160,119,23546290,12161101
163,4117,868277,120,23408123,12809179
164,4746,873023,121,23518013,13495201
165,4463,877486,105,23372859,14110389
166,3483,880969,113,22956733,15506904
167,3585,884554,115,22956733,15506904
168,2953,887507,93,22986688,15958465
169,3427,890934,106,23355331,16344464
170,4109,895043,81,24530991,17137096
171,3755,898798,93,24530991,17137096
172,3173,901971,88,25281908,17401624
173,3148,905119,63,27215183,17947759
174,3116,908235,73,27215183,17947759
175,3013,911248,75,29039786,18854301
176,3612,914860,72,30002539,19251970
177,3600,918460,71,30002539,19251970
178,3960,922420,56,30322931,20441547
179,3336,925756,76,30723198,20756820
180,3848,929604,53,31036719,21143302
181,4876,1085053,65,31036719,21143302
182,3533,1088586,64,31434686,21898015
183,4362,1092948,54,31831248,22283457
184,4857,1097805,53,32114169,22958157
185,4847,1102652,56,32114169,22958157
186,5005,1107657,64,32601816,23508104
187,5466,1113123,53,32640683,24182948
188,5547,1118670,48,32640683,24182948
189,5570,1124240,74,32716827,25225212
190,7049,1131289,78,32635154,25660584
191,6528,1137817,59,32298994,26544347
192,7338,1145155,68,32298994,26544347
193,7507,1152662,58,31977610,28355433
194,7575,1160237,61,31925638,28913434
195,7900,1168137,66,31523938,29871010
196,8071,1176208,87,31575885,30718380
197,7783,1183991,79,31347108,31636351
198,8077,1192068,84,30724875,32438011
199,8875,1200943,81,30724875,32438011
