date,vaccine_provided_by_time,total_injected_by_time,once_injected_by_time,twice_injected_by_time,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
13/9/2021,32211620,24377028,18929108,5447920,10971,623125,0,0,298,15514,0,8679
14/9/2021,35024846,25059861,19405504,5654357,10497,633612,0,0,276,15790,0,8679
15/9/2021,35404846,25920015,20132927,5787088,10523,644092,0,0,215,16005,0,8679
16/9/2021,35252726,26426488,20450003,5976485,10473,654559,0,0,234,16239,0,8679
17/9/2021,35252726,26423731,20447246,5976485,11495,666054,0,0,212,16451,0,8679
18/9/2021,35252726,26796091,20668716,6127375,9350,675404,0,0,219,16670,0,8679
19/9/2021,38009776,27165051,20868410,6296641,10013,685417,0,0,233,16903,0,8679
20/9/2021,38031376,27492632,21077295,6415337,8869,694286,0,0,215,17118,0,8679
21/9/2021,38009776,27862499,21301534,6560965,11687,705973,0,0,240,17358,0,8679
22/9/2021,38009776,28655687,21817480,6838207,11523,717492,0,0,236,17594,0,8679
23/9/2021,38009776,28655687,21817480,6838207,9464,726954,0,0,236,17830,0,8679
24/9/2021,38009776,29084403,22058114,7026289,8388,735341,0,0,203,18033,0,8679
25/9/2021,38009776,29572546,22262474,7310072,9687,745027,0,0,179,18212,0,8679
26/9/2021,38009776,29968574,22273818,7694756,10000,755027,0,0,184,18396,0,8679
27/9/2021,42486276,31032452,22691448,8341004,9338,764359,0,0,177,18573,0,8679
28/9/2021,42486276,31032452,22691448,8341004,53672,818017,0,0,178,18751,0,8679
29/9/2021,42486276,32202918,22964761,9238157,8662,826660,0,0,161,18912,0,8679
30/9/2021,43281276,32606375,23054280,9552095,7921,834491,0,0,219,19131,0,8679
1/10/2021,43281276,32604414,23054155,9550259,6941,841343,0,0,377,19434,0,8679
2/10/2021,43281276,33067617,23213810,9853807,5471,846718,0,0,164,19598,0,8679
3/10/2021,54788976,33922584,23541880,10380704,5347,851984,0,0,114,19712,0,8679
4/10/2021,54788976,34666043,23834732,10831311,5382,857269,0,0,130,19842,0,8679
5/10/2021,54788976,35135488,23687258,11448230,4312,861477,0,0,133,19975,0,8679
6/10/2021,54788976,35707391,23546290,12161101,4356,865742,0,0,119,20094,0,8679
7/10/2021,54788976,36217302,23408123,12809179,4117,869762,0,0,120,20214,0,8679
8/10/2021,54788976,37013214,23518013,13495201,4746,874406,0,0,121,20333,0,8679
9/10/2021,58079456,37483248,23372859,14110389,4463,878741,0,0,105,20438,0,8679
10/10/2021,58079456,38463637,22956733,15506904,3483,882118,0,0,113,20551,0,8679
11/10/2021,58079456,38463637,22956733,15506904,3585,885573,0,0,115,20666,0,8679
12/10/2021,58079456,38945153,22986688,15958465,2953,888438,0,0,93,20759,0,8679
13/10/2021,58079456,39699795,23355331,16344464,3427,891770,0,0,106,20865,0,8679
14/10/2021,59679456,41668087,24530991,17137096,4109,895789,0,0,81,20946,0,8679
15/10/2021,67370456,41668087,24530991,17137096,3755,899454,0,0,93,21039,0,8679
16/10/2021,67370456,42683532,25281908,17401624,3173,902505,0,0,88,21127,0,8679
17/10/2021,69095276,45162942,27215183,17947759,3148,905532,0,0,63,21190,0,8679
18/10/2021,69095276,45162942,27215183,17947759,3116,908530,0,0,73,21263,0,8679
19/10/2021,73683276,47894087,29039786,18854301,3013,911440,0,0,75,21338,0,8679
